model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std,NSS_mean_mean,NSS_mean_std,AUC_mean_mean,AUC_mean_std,CC_partial_mean_mean,CC_partial_mean_std
gemini-3.1-flash-lite,web,0.17354107184956033,0.13957790178418658,0.30741749831118376,0.07625425086132735,2.416522446489727,1.0496414608330944,0.4292369362580408,0.3662130167915403,0.6368341366344267,0.09700707901821896,0.1390086126934263,0.13625622542526222
gemini-3.1-pro,desktop,0.3099079252067349,0.18923964764719226,0.3615960444923003,0.10896009303620328,2.477784967153825,1.7574198123079277,0.7898308442933216,0.5406227333795615,0.6696425496387642,0.13916938296125264,0.2966425607631492,0.18311265426244902
gemini-3.1-pro,mobile,0.2413582937216876,0.1534366947732166,0.33919033852650227,0.09540728112447486,3.061002410719102,1.5007718718793868,0.5333007758821733,0.3902257968865881,0.6231645687124241,0.12407221152342968,0.20127472246971112,0.1529477973542753
gemini-3.1-pro,poster,0.21033663397631489,0.18232056697585072,0.324652821328161,0.10978683905352803,3.084796573595375,1.9297058136670382,0.4907023818186493,0.45054972282725814,0.5910989554574869,0.1481075659050078,0.19428555106056924,0.18503991445247372
gemini-3.1-pro,web,0.1669140574475551,0.14843955954783802,0.30728513327325546,0.08170949809256721,2.404650343181521,1.2441389628470743,0.42063006234810574,0.38854358343062273,0.6355471831822832,0.11213866228763447,0.13049104417328683,0.14174241263240112
gpt-5.4,desktop,0.4213312647564801,0.15625573436078083,0.42945581922490206,0.07951973013383108,1.3303735288937841,0.47197218443981015,1.062743595345581,0.49797745304679913,0.7490476551864221,0.07973256501942322,0.36509829722405984,0.1712776573458706
gpt-5.4,mobile,0.298905951370672,0.15558187248713434,0.39789057662974586,0.07979240693975734,2.1752851169153,0.905481128576672,0.640248586030986,0.41734776508186355,0.6684108499904194,0.09069504151609724,0.21119897631201748,0.16484504878393405
gpt-5.4,poster,0.29636695166802546,0.16417522018454192,0.38513792862983637,0.09376181598572879,2.0046205162179533,1.1962434584467683,0.6583007038350533,0.4072332136880549,0.6638607744367634,0.10843699025496978,0.2439103280821337,0.18595115578771274
gpt-5.4,web,0.28817483161299307,0.135333100711269,0.3669548368946237,0.06875710524277391,1.6147839473767567,0.4990349574602834,0.7033916623273115,0.369364520461611,0.6904948397442779,0.08119935657212787,0.19785370709179517,0.1450935378266226
gpt-5.4-mini,desktop,0.33002984922543416,0.160282779071214,0.38327121221869176,0.07300501065506798,1.505478181785514,0.5032734174590816,0.8378335961814563,0.48651784084138744,0.7018839574205582,0.08810514620196384,0.2702783878343263,0.17022682549527085
gpt-5.4-mini,mobile,0.16925876322337158,0.13853821257786103,0.33593546068614144,0.07131813516658018,2.6598001467055825,1.007294727832908,0.36291529779279225,0.3460582876186893,0.6005333324020549,0.09208775308097437,0.09572015249867949,0.15345957026114943
gpt-5.4-mini,poster,0.17974514702689603,0.16969302466475286,0.3361753969393306,0.0956650133662596,2.460482015274236,1.39858687462874,0.39914884627137515,0.39814660099967214,0.5935645681945869,0.11643226661977885,0.13377460566569005,0.18207344708155324
gpt-5.4-mini,web,0.2023354566149727,0.1177136909636309,0.331216274009082,0.06129665552612688,1.8147550402105739,0.5412361235759819,0.5040483022114965,0.319807189428971,0.6410463686733165,0.0798872275809028,0.11834156122065269,0.12302471098996035
qwen-3.5-flash,desktop,0.27846017234771664,0.175905341388804,0.3509298824274808,0.09256639339593696,2.3562679732249157,1.4007838892167976,0.7035194419379324,0.4922345175043733,0.6629593078186071,0.11705096249389704,0.2538361269417021,0.18027302733862116
qwen-3.5-flash,mobile,0.23228829452339256,0.1499763822136524,0.3415677921294815,0.08737483716757952,2.962821110325402,1.3059506652933552,0.52182469978335,0.4001037956989225,0.6265229241941551,0.10888433109338241,0.16925296882189228,0.1693028345610267
qwen-3.5-flash,poster,0.16061099634335008,0.16095910128181146,0.30988074128032,0.10062184159515498,3.123648807080924,1.7264193161840273,0.37144739836698365,0.38891638927564876,0.5683077517367343,0.12682168804328298,0.1386213327945397,0.17081030821830206
qwen-3.5-flash,web,0.17002706972697904,0.12768411107618438,0.30989919349903505,0.07334710030896081,2.3526297452549665,0.9352927078085294,0.41815101482146644,0.33280507189762376,0.6409555464428318,0.08737979571345056,0.11909683715606616,0.12824730391646716
qwen-3.5-plus,desktop,0.3154117764074121,0.16271681014901612,0.37797906953812155,0.08106714311058784,1.6957992804913735,0.6758842943518762,0.795947336236468,0.473185913244127,0.6963025587991918,0.08741618903557985,0.2673897055781725,0.17824853035722146
qwen-3.5-plus,mobile,0.24593296808965062,0.1505005855742786,0.36995103311367733,0.08003509642964747,2.4221513078686936,0.9460754720603044,0.52857520255779,0.372228997600779,0.6439915935392744,0.08795456446530017,0.1704644885243551,0.16648964318617981
qwen-3.5-plus,poster,0.21832373213951703,0.17708090934262238,0.35295546546457673,0.09772118012299645,2.391407564053668,1.3182066198444202,0.49990418058410113,0.413513557165244,0.6206067439026108,0.12005969126808716,0.18500098034661758,0.19339425077583056
qwen-3.5-plus,web,0.19872146810744284,0.12976201912596927,0.32900633341154334,0.0681401283535661,1.9758771655533465,0.6697780571667697,0.4893650518833018,0.33025177450756316,0.6529014709255444,0.08254994744177052,0.1322817494984689,0.13259548127360735
ui-tars-1.5,desktop,0.20184716903710398,0.18000957941697343,0.24369153945298866,0.12245269026290109,5.564607399117434,2.584342007142294,0.49254589455553205,0.4654396962869813,0.47415599762192634,0.20068770334174782,0.14649966268946532,0.19056434402023018
ui-tars-1.5,mobile,0.10820073471538216,0.1699099017855447,0.18309411178865068,0.1277370469426227,6.2971768838685405,2.2586005489488605,0.23225391566817305,0.4081437349835907,0.3719303592762861,0.21927849178792821,0.03445339806628551,0.17083617598852482
ui-tars-1.5,poster,0.2058190593025312,0.1882121122052693,0.2545050901945471,0.1322824870219027,5.07648526935862,2.1545164860392907,0.43529994424577173,0.4277580805960213,0.4811224021307111,0.1925878025049758,0.10176804486550292,0.1677010456429162
ui-tars-1.5,web,0.16587088643505735,0.1694369519087828,0.22863000429139202,0.10931148714219688,5.61190989394772,2.2170365844889766,0.39595056791999544,0.4161090989990225,0.4762387478314702,0.17294443781402954,0.0694330797005104,0.16219997312686601
