group_1,group_2,n,mean_diff,ci95_lo,ci95_hi,wilcoxon_stat,p_raw,rank_biserial_r,p_holm,sig_holm_05
gemini-3.1-flash-lite,gpt-5.4-mini,1978,0.031352074112092454,0.025189725261153626,0.03754329298158983,729939.0,1.2600855199012055e-22,0.2541105265551179,1.890128279851808e-21,True
gemini-3.1-flash-lite,qwen-3.5-flash,1978,0.041263964847066736,0.035411777325231555,0.0470144041409403,639158.0,1.0079775621051846e-40,0.34687525386630397,2.1167528804208877e-39,True
gemini-3.1-flash-lite,qwen-3.5-plus,1978,0.006999885084512389,0.0018982698450841903,0.012088509432402639,908899.0,0.006065113059935922,0.07123993028927092,0.012130226119871844,True
gemini-3.1-flash-lite,ui-tars-1.5,1978,0.08116269367504765,0.07096429957415018,0.09154916021221562,589476.0,5.8295581514139995e-53,0.3976428944769422,1.2825027933110798e-51,True
gemini-3.1-pro,gpt-5.4,1978,-0.09395012747722767,-0.1004665258009484,-0.08758422896839102,333832.0,4.138913074664502e-142,-0.6588731733760603,1.2416739223993505e-140,True
gemini-3.1-pro,gpt-5.4-mini,1978,0.011846290863100075,0.005422874069548829,0.018297539974614693,879861.0,0.00010138266808413433,0.10091246255551849,0.0005069133404206717,True
gemini-3.1-pro,qwen-3.5-flash,1978,0.021758181598074355,0.015503352710104376,0.028149754197867992,814096.0,9.421306755622919e-11,0.1681145454982064,8.479176080060626e-10,True
gemini-3.1-pro,qwen-3.5-plus,1978,-0.012505898164479992,-0.018404417448108796,-0.006655533438964127,877172.0,6.52135475259876e-05,-0.10366022201773832,0.0003912812851559256,True
gemini-3.1-pro,ui-tars-1.5,1978,0.061656910426055256,0.05138898422792031,0.07196543200815715,669906.0,5.619444438745512e-34,0.31545535503984967,1.0114999989741921e-32,True
gpt-5.4,gpt-5.4-mini,1978,0.10579641834032773,0.10070290259291956,0.11088563735836432,174959.0,1.2503620263865108e-219,0.8212178327443209,4.501303294991439e-218,True
gpt-5.4,qwen-3.5-flash,1978,0.11570830907530202,0.1097207520639601,0.12188647652009603,226484.0,1.2493278465434975e-192,0.76856691928546,4.247714678247892e-191,True
gpt-5.4,qwen-3.5-plus,1978,0.08144422931274768,0.07611369787468483,0.08673094238027623,320599.0,6.421197552897069e-148,0.6723953381077655,2.054783216927062e-146,True
gpt-5.4,ui-tars-1.5,1978,0.15560703790328292,0.14627149827779606,0.16532677280701175,289090.0,3.17370670735664e-162,0.7045928661461013,1.0473232134276912e-160,True
gpt-5.4-mini,qwen-3.5-flash,1978,0.009911890734974282,0.0037761419663912706,0.015915996278824826,901366.0,0.0023598136430186614,0.07893753982028692,0.009363033484391754,True
gpt-5.4-mini,qwen-3.5-plus,1978,-0.024352189027580066,-0.02981869097597302,-0.019002327765970252,762523.0,1.8001050234822683e-17,-0.22081450784296794,1.980115525830495e-16,True
gpt-5.4-mini,ui-tars-1.5,1978,0.04981061956295518,0.040334079151692036,0.05941055691876301,693868.0,3.7052777770496566e-29,0.2909697424575842,6.298972220984416e-28,True
qwen-3.5-flash,qwen-3.5-plus,1978,-0.03426407976255435,-0.03934125362758402,-0.02920413273479148,660391.0,5.365723333842268e-36,-0.3251782748178422,1.0194874334300309e-34,True
qwen-3.5-flash,ui-tars-1.5,1978,0.0398987288279809,0.0301674660751854,0.049682765924210316,743283.0,1.981012303699047e-20,0.24047493627476776,2.575315994808761e-19,True
qwen-3.5-plus,ui-tars-1.5,1978,0.07416280859053524,0.06454321907296363,0.08389333399700391,584859.0,3.502625013140662e-54,0.4023607841895004,8.056037530223523e-53,True
