model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4-mini,1,03474c,desktop,40,0.0035152452328270057,0.3032286575042278,2.009272174482988
gpt-5.4-mini,2,03474c,desktop,45,0.2199610949964957,0.3467428506515748,1.76331345685992
gpt-5.4-mini,3,03474c,desktop,40,0.32053818485636465,0.39896602513897816,1.2525197298419208
gpt-5.4-mini,1,035da4,mobile,38,0.39555391045637467,0.43259101939876016,1.0568545596882952
gpt-5.4-mini,1,03340d,mobile,39,0.09554011247321212,0.3010885386160491,2.7991724382264964
gpt-5.4-mini,3,035da4,mobile,41,0.0057768902642532875,0.2797094921335463,1.8617512676493175
gpt-5.4-mini,2,035da4,mobile,41,0.24147795256145643,0.37955685788137405,1.3446936968698724
gpt-5.4-mini,2,03340d,mobile,39,0.00896776196114973,0.282958721073621,3.100075446542265
gpt-5.4-mini,1,037d19,desktop,40,0.6087462129142991,0.49433789787846094,0.8363972676401712
gpt-5.4-mini,2,037d19,desktop,40,0.47397846528320664,0.47216350044973665,1.0125441946010525
gpt-5.4-mini,3,037d19,desktop,43,0.552808598098246,0.4979299192165345,0.9347750463657815
gpt-5.4-mini,3,03340d,mobile,35,0.05046861759485073,0.26334060544494414,3.871243284238455
gpt-5.4-mini,1,038d71,desktop,40,0.4263717114623001,0.4334364887229483,1.7580055071496694
gpt-5.4-mini,3,038d71,desktop,43,0.5927188561831863,0.5252708124619694,0.8741141853147907
gpt-5.4-mini,2,038d71,desktop,45,0.7048998152360839,0.6013369821990566,0.6673165779270367
gpt-5.4-mini,1,042af0,web,40,0.2148431533020239,0.25721632447101483,1.7334123965557926
gpt-5.4-mini,2,042af0,web,42,-0.0034045582928494116,0.1772928151065446,2.7167470625244876
gpt-5.4-mini,3,042af0,web,47,0.1952649253865781,0.23818837077409544,1.9467365668463659
gpt-5.4-mini,1,039978,mobile,43,0.0926840018202906,0.27894708963862963,2.921509593618258
gpt-5.4-mini,3,039978,mobile,40,0.06316543865224188,0.2716347183991847,2.9548482589290956
gpt-5.4-mini,2,039978,mobile,38,0.01682794474517306,0.24665693733108165,3.488076649095535
gpt-5.4-mini,2,045f81,desktop,42,0.08895680476029476,0.3978840085321719,1.4003832118369148
gpt-5.4-mini,1,045f81,desktop,41,0.16527769735422,0.3843345186819045,1.467364135816371
gpt-5.4-mini,3,045f81,desktop,40,0.18030800023013682,0.4097298842163895,1.2946128708297917
gpt-5.4-mini,1,045d43,poster,40,0.1346777232193082,0.3162800790401624,3.6719999846123264
gpt-5.4-mini,2,045d43,poster,43,0.10316968452418068,0.2789342169221418,4.672561108675188
gpt-5.4-mini,3,045d43,poster,40,0.1719149505882715,0.3230918363646368,4.218323349916799
gpt-5.4-mini,1,0529f2,desktop,44,0.2377468185808176,0.33483468291407725,1.5635668298577174
gpt-5.4-mini,2,0529f2,desktop,43,0.48271108134098656,0.41987009772464196,1.1072362603445312
gpt-5.4-mini,1,04741e,mobile,37,0.21210298888049,0.3462935725221412,2.876450894516785
gpt-5.4-mini,3,0529f2,desktop,40,0.3775079330405695,0.39537300778269496,1.2321226804987653
gpt-5.4-mini,2,04741e,mobile,41,0.10473021242530932,0.3192722811899962,2.612112840824805
gpt-5.4-mini,3,04741e,mobile,38,0.15634649900106073,0.326140818272213,2.6934644469954763
gpt-5.4-mini,1,056cfb,desktop,44,0.01679973677062067,0.26552598066045185,1.8273433109667176
gpt-5.4-mini,2,056cfb,desktop,39,-0.003836504939134559,0.25131220350941835,1.7849084017061732
gpt-5.4-mini,3,056cfb,desktop,46,-0.010968480714284752,0.25185035266181327,1.8991836195034928
gpt-5.4-mini,1,05490b,mobile,43,-0.008350916155535605,0.20767828577858963,3.8774032135873138
gpt-5.4-mini,2,05890e,web,39,0.2202512903901354,0.29629659501046435,2.137556935841605
gpt-5.4-mini,1,05890e,web,38,0.2650888938119611,0.3352463326836642,1.6690103870845991
gpt-5.4-mini,3,05890e,web,41,0.4396082154439658,0.39810619192541014,1.3258070263871895
gpt-5.4-mini,3,05490b,mobile,41,-0.011732828135403977,0.1907430946673704,4.7158780646224105
gpt-5.4-mini,2,05490b,mobile,39,0.14842327666340843,0.27634753580166044,3.290015261534585
gpt-5.4-mini,1,05a1ad,poster,38,-0.08118407486862363,0.1809335132710028,4.856314414768638
gpt-5.4-mini,2,05dac7,web,44,0.37014423166896904,0.4188797071736504,1.307454792325604
gpt-5.4-mini,1,05dac7,web,43,0.367693811344329,0.3737194637235331,1.347984618934213
gpt-5.4-mini,3,05dac7,web,40,0.3126718557722249,0.333089853583721,1.6339724365573836
gpt-5.4-mini,2,05a1ad,poster,39,0.053730289821185606,0.2660881798692526,2.5987605416017594
