model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
claude-opus-4.6,1,00d37d,mobile,42,0.0015226132368412,0.2512774784577628,3.362758356120727,-0.226265699270071,0.5327640783107598,-0.0530389146575394
claude-opus-4.6,1,00fcd9,mobile,42,0.4037232703241096,0.384852412648592,1.3336474153101048,1.1329615022325927,0.8031224980671949,-0.0061356731126697
claude-opus-4.6,2,00fcd9,mobile,46,0.282452527026124,0.3174501065920984,1.717244316851514,0.801928072416165,0.7378610857774172,-0.0664378326372911
claude-opus-4.6,3,00fcd9,mobile,45,0.2785085078215911,0.3223415148152568,1.7648520784747408,0.804889469347093,0.7309387347844447,-0.0353065672628618
claude-opus-4.6,1,012baa,mobile,45,0.3872993848969233,0.3724431228642168,1.8085974846888864,0.9374259561321996,0.7308840838733566,0.1112776875744358
claude-opus-4.6,3,012baa,mobile,45,0.3868724220527007,0.3718899562655987,1.8095564171673169,0.9354673609605072,0.7295871475696948,0.1117851234063614
claude-opus-4.6,2,012baa,mobile,46,0.3735979576914283,0.3657341097604532,1.832370221505533,0.8973066115610985,0.7258728997793105,0.0999444878899567
claude-opus-4.6,1,013aca,poster,45,0.1261485368896714,0.2053549437048168,2.087625890537912,0.3849165518399913,0.5895095557467721,0.0864099695311392
claude-opus-4.6,1,0136d8,desktop,44,0.2938413349105456,0.288053274081367,1.963242137812308,1.0407376865952225,0.7296722017299937,0.3187350214029475
claude-opus-4.6,2,0136d8,desktop,45,0.3093666854162592,0.3013532144785236,2.0031399521862694,1.0866260495969686,0.735168160921986,0.320568236268319
claude-opus-4.6,2,013aca,poster,45,0.1765687593917361,0.2168925323537089,1.9848073641353243,0.5338554601614032,0.6361031430727702,0.1288468233882654
claude-opus-4.6,3,0136d8,desktop,45,0.2389899925136115,0.2591801116648629,2.2297918791392677,0.8352634287286613,0.7071598164551702,0.2680999108721479
claude-opus-4.6,3,013aca,poster,43,0.2458095191277202,0.2345745998197088,1.8410330416409708,0.8326775134430022,0.7274700105169156,0.1974177071626434
claude-opus-4.6,2,014b22,web,46,0.3202118048324135,0.3764548672706158,1.5497531958550197,0.7659983437771657,0.6946248863092911,0.138142424512532
claude-opus-4.6,1,014b22,web,44,0.3439501578679765,0.387164066399855,1.5550284038843896,0.813212600639782,0.6809286683484914,0.1480662956496775
claude-opus-4.6,3,014b22,web,45,0.3050536599370957,0.3674600090851975,1.6296357444100034,0.7278428608802435,0.6848808980548333,0.113443388993236
claude-opus-4.6,1,016f77,mobile,40,0.1219281171183168,0.316169494447111,1.8595574920414275,0.2183102668546697,0.6236312317265933,-0.0466277556596406
claude-opus-4.6,2,016f77,mobile,40,0.2229357494838343,0.3684292909727535,1.2726303683233469,0.6808883513186734,0.6760255751077509,0.2325377555143122
claude-opus-4.6,3,016f77,mobile,42,0.08749033390613,0.3160164416195486,1.565720512415919,0.1152285620727864,0.604326075630693,-0.0685984845744196
claude-opus-4.6,2,018c0a,poster,44,0.3347180745947132,0.3073245814745862,1.502043239196361,0.8672359914551713,0.7599336728801203,0.2331920129725371
claude-opus-4.6,3,018c0a,poster,45,0.2950516884856412,0.2914327151307552,1.5720389654837512,0.7245774374009304,0.7407956689237143,0.1958611763712416
claude-opus-4.6,1,018c0a,poster,44,0.3013118351890511,0.3007697046587006,1.5344479367230863,0.7435723054827987,0.7723040839959955,0.1956393100930736
