model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gpt-5.4,9,4ae90b,mobile,36,0.16353708925075644,0.40230963178539203,2.1853161166443997,0.17302951382040438,0.5865477693603496,0.10017126812495472
gpt-5.4,1,4ea758,poster,40,0.6639874298505883,0.5932213754720368,0.9498296247582236,1.4510348690132004,0.8342376672439666,0.6435439793299162
gpt-5.4,2,4ea758,poster,40,0.5569561904588881,0.5362731655625739,1.3626417172528034,1.216211171675508,0.7840032149489903,0.5548247666431311
gpt-5.4,3,4ea758,poster,40,0.583194654674463,0.546712510545392,1.0636937821657022,1.3019549562616715,0.8044735984226967,0.5806411198716455
gpt-5.4,4,4ea758,poster,40,0.5478320294837582,0.5210683287347755,1.0046867050129071,1.2125223944721661,0.7881503431448924,0.5388364381523423
gpt-5.4,5,4ea758,poster,40,0.6724752499656722,0.592488209285662,0.744096619358118,1.418249761218286,0.8266757681219724,0.6577075787102536
gpt-5.4,6,4ea758,poster,35,0.5209555539785371,0.537197541477034,1.000118369962697,1.067378772981022,0.8054900931158345,0.5255282552711786
gpt-5.4,7,4ea758,poster,40,0.589554957316934,0.5612788734674822,0.8490456619696893,1.2755929513611475,0.8160053162256322,0.573676490417145
gpt-5.4,8,4ea758,poster,40,0.5512173747423785,0.5339090888897549,1.2218762330440693,1.2147633314861932,0.8134686961570925,0.5182039955512295
gpt-5.4,10,4ae90b,mobile,40,0.18193813270178472,0.40751255289076543,2.0573039016591173,0.2534440196796929,0.6169100170334718,0.1032776912749621
gpt-5.4,9,4ea758,poster,40,0.5857032491041623,0.5537220781002592,0.8746709437812418,1.2706873475354719,0.8070459641541513,0.56266173767057
gpt-5.4,10,4ea758,poster,40,0.5815261055007136,0.5418967961481285,0.8814664686355671,1.2603294630267523,0.818435217229617,0.5824907321959532
gpt-5.4,2,52a3d2,web,40,0.3999340833527085,0.45928665060146334,1.6356019518102665,0.6936947056887454,0.7249368803835402,0.35619906225987885
gpt-5.4,3,52a3d2,web,40,0.4683889745993962,0.49007949988064314,1.3750266929389423,0.8274064613568921,0.7508372204879414,0.42550349662562775
gpt-5.4,1,52a3d2,web,42,0.3537558856284241,0.4320052592598011,1.8686639138787353,0.5976152660678637,0.694773964515758,0.300313916365559
gpt-5.4,6,52a3d2,web,46,0.37300761560121387,0.4492835135077352,1.452954046928176,0.617888794428897,0.7164243120123528,0.33813300073991787
gpt-5.4,7,52a3d2,web,40,0.32512283068345027,0.4400136879551528,1.7704232964615025,0.5316254845316049,0.6957977586655658,0.29918095319751015
gpt-5.4,4,52a3d2,web,40,0.420250602357217,0.4638225532065329,2.0279750545024875,0.731716297922233,0.69414522193246,0.36510357373043545
gpt-5.4,5,52a3d2,web,40,0.3805550131876149,0.46602639845461136,1.3548599449855605,0.6850828791646575,0.7267388307610221,0.3830979149968291
gpt-5.4,8,52a3d2,web,42,0.4894279134588104,0.48634591190626714,1.7830563423416783,0.857959102448819,0.7019830157739552,0.43113302705855633
gpt-5.4,9,52a3d2,web,40,0.28896185800121393,0.4184617519272741,1.8973018302631215,0.4508769538130533,0.6913225002447367,0.2721375721915663
gpt-5.4,10,52a3d2,web,40,0.29929980850784654,0.4082291653487907,2.0381290840433044,0.5002231470146904,0.6902427340886796,0.2545156034287463
gpt-5.4,3,587857,mobile,40,0.3634142566530517,0.4314731462638852,1.8885310206105352,0.6153868454048984,0.73374053985932,0.3119130971098264
gpt-5.4,1,587857,mobile,40,0.2228089435192987,0.3550393887746015,2.8320094395496827,0.3092961870080143,0.6735009293259538,0.16974107947169517
gpt-5.4,2,587857,mobile,40,0.35211677167430777,0.44090793219852076,1.73224132716219,0.5787813119442888,0.7448249794652925,0.28444921311714916
gpt-5.4,4,587857,mobile,40,0.2922797975258774,0.40318550828305866,2.7710854006854273,0.4783874466748869,0.6642160983603765,0.2502821293541213
