baseline,image_id,category,CC,SIM,KL,NSS,AUC
noise,f14f17,poster,-0.00015830191009110942,0.3790732331645671,1.4482929477670508,-0.0056769896329142075,0.49836307715732586
noise,dd0d82,poster,0.0015837634024476093,0.3589026515218855,1.455833175329205,0.004003459536668235,0.5012561590689041
noise,a18b8d,poster,-0.00016975216224618362,0.3654290272737549,1.444749915608813,-0.006664439259843311,0.4980814920735248
noise,cdbd16,poster,0.0016526946891276637,0.42587068363030756,1.2272981069412636,0.005928621120319183,0.5017820041314419
noise,274fcc,poster,0.0010971213500979141,0.5015010110904283,0.941039875254543,0.011322711388076015,0.503330040849884
noise,83575e,web,0.000283635396525167,0.40286703176023986,1.2617171260279172,0.009964289683133077,0.5029546406990796
noise,8e8767,poster,-9.195346924505604e-05,0.3526140463667542,1.42298351372733,-2.386899836281254e-05,0.5000163921581966
noise,2c9ce5,web,3.5323995577715903e-05,0.3860893846605401,1.4756100563745853,-0.013115174555566244,0.4961969352416015
noise,d8cbc3,web,0.0013360956437010582,0.4248983276942057,1.1856384728415739,0.006577151601152799,0.5019544250796412
noise,c0422a,web,0.000676982911444961,0.35784416348782633,1.4690674675569584,0.00013946237289426172,0.5000951440718496
noise,a2744a,poster,-0.000451369407541164,0.4472849728681973,1.1106834577146083,0.0015346024049515041,0.5004564945317516
noise,8fd96b,web,0.0011670186169917246,0.38497730234643013,1.3403547236320896,0.004488387381550378,0.5013476840820985
noise,28a531,web,-0.0012304681359358355,0.30102126874196444,1.7413784899701747,0.00694020436264239,0.5020677187462108
noise,ba9073,web,-0.0008047281423958486,0.3733584083915391,1.366922685833429,-0.010077734706212444,0.49708468896870917
noise,182715,desktop,-0.0012906049872803923,0.406511352051086,1.2951707038185505,0.009005651461309258,0.5026833292855016
noise,faa31c,desktop,-0.0012356396205893952,0.3847866853446286,1.3422846675415228,0.006286722593446034,0.5018837575143275
noise,52a3d2,web,-0.00035607633264448854,0.37554125417413997,1.4092019827307074,-0.00921475164614705,0.4973315997168708
noise,bef09c,desktop,-0.00038437295992638416,0.4288707231485269,1.1756553726781984,0.004886837102748098,0.5014759209816315
noise,aac976,desktop,0.00011709949579949533,0.326777298650477,1.5568794350562958,-0.011011116758368127,0.496831531904792
noise,cd6b02,desktop,-0.0014953420503765785,0.36520626336311457,1.494702471974156,-0.00045602123619114594,0.4999113540954306
noise,1411d0,desktop,0.0006433895180706212,0.42478560477876526,1.222007603147023,-0.002489538845737764,0.4993302610358349
noise,ba648d,desktop,-0.0010105748130595066,0.36783300199575575,1.4200481220996284,-0.0106089379666059,0.4969457710338115
noise,49046b,desktop,0.00024622003818434377,0.337153735719884,1.700433267445371,-0.006530741910974386,0.49813296220363656
noise,37123f,desktop,-0.00014546273031180253,0.3942811167664799,1.372202562997783,-0.00885791191267403,0.49744713844819133
noise,38a100,web,0.0009374732287043782,0.3254799627144077,1.5541380250445838,0.0068146965620190895,0.5020101274902972
noise,f4ff84,mobile,-4.131997757117272e-05,0.4377067184877608,1.1530335436012369,-0.009969517235065367,0.49717042143359014
noise,51f12a,mobile,-0.00024331808274284894,0.38816972448670944,1.3358600877858116,0.01895999895958132,0.5056398163412744
noise,9b3421,poster,0.00036870403653693274,0.4424888021926132,1.1238167551087361,-0.005666204049396758,0.49836289914853255
noise,0c5a84,mobile,-0.0005622880830530338,0.44948124430194997,1.107812717580511,0.005112241161827395,0.501516946430034
noise,756eac,mobile,0.00015349944699138165,0.3697414564694548,1.481574216688696,0.00021507849493137302,0.5000900792817135
noise,14a621,mobile,0.0016234511619978046,0.3475001229965205,1.4738619872517582,0.005215291541433476,0.5015460612506109
noise,34a3b6,mobile,-0.00113005354595547,0.32647930811646564,1.5011505127189961,-0.011301908923565631,0.4967315806039273
noise,fd4c35,mobile,0.0009550597483295216,0.3368889810833996,1.4622713162679677,-0.004332632578589833,0.49876383063643004
noise,87b0c1,mobile,0.0005455067700756867,0.38332122675276303,1.301052461019559,-0.0021670756864678067,0.49939681739389996
noise,bb3926,poster,0.0007176920715239025,0.45541927002405724,1.0908222936827554,0.007472629657490595,0.5022643938373286
noise,13a206,mobile,0.00020632802253500848,0.3153550495387924,1.6091059843092748,0.007219592370389633,0.5021290303378618
noise,1356d2,poster,0.0014992803423129113,0.42999604906189126,1.1405391101272708,0.02386396702652745,0.5071291658400948
noise,3ec6d5,poster,0.0009189621018733217,0.43942887343141956,1.128881278448162,-0.007105967384813892,0.49794359512151076
noise,b3b208,poster,-0.0010009798061523722,0.47536247849589763,1.0633902250910872,0.008717404900010405,0.5026530354502723
noise,a19d22,web,0.0005513179996766587,0.48936077601083633,0.9739769505771867,0.005288528541316828,0.5016037872209105
noise,ce5b5c,poster,-0.0006846802247000976,0.5558383398583748,0.7698681758046213,-0.007633652506907816,0.49784222139309975
noise,42c4ea,web,5.235234562462411e-05,0.4196848312041993,1.207871866203651,-0.010632462369144636,0.4969182756948295
noise,ca623d,poster,-8.327035771485267e-05,0.42220943953397794,1.2144745999525464,0.005612307404791917,0.5016577291018446
noise,92510f,web,-0.00020176824394119896,0.4177251710664939,1.2234816500063048,-0.013329467624353001,0.4961282300228306
noise,20eedb,web,-0.0001703270689573617,0.38460247688785953,1.3092623239177223,0.0070661806980281995,0.502125905385959
noise,d34e08,web,0.0011594338073402026,0.4217578685667073,1.203438143611872,-0.002388048377408562,0.4993488125031824
noise,8d98e4,web,0.0014993020935832092,0.44931011264517834,1.1385588400649533,-0.003607567936517853,0.4989747433685202
noise,0a22ef,web,-0.0004462032416199792,0.38296620658206026,1.3387730304114291,-0.004219382602196488,0.4987995153389799
noise,f3411a,web,0.0001721680864029074,0.38603528115860963,1.319953801333582,-0.001025390609127092,0.49972274455705445
noise,9e6898,desktop,0.0006921156119004877,0.30100155390770245,1.9034313161844816,0.0027211817609177815,0.500851182883211
noise,ab32c7,poster,-0.00038160498849709496,0.25090121370194307,1.9082974786457099,-0.0004227647914007958,0.49989564795454633
noise,1a3e47,desktop,-0.00011405679267896768,0.3080843047025073,1.7161660778360868,-0.005406485402628076,0.49847725882091454
noise,6428b2,web,0.0003279964961430134,0.44904773573505696,1.1140751458216287,-0.0011427933519469425,0.4996923275091838
noise,fcb925,desktop,-0.0019320219275276737,0.34400012997035434,1.6254106009920517,-0.01326135244293779,0.4961749451790543
noise,669937,desktop,-0.00014268238944769478,0.2795430774883096,1.8657063600106225,-0.005538919476579863,0.49843644025635553
noise,037d19,desktop,0.0015203740540183472,0.39436955881906166,1.289424938151081,0.0014650212045949726,0.50050809568966
