model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,c0233f,desktop,40.0,0.26739687533431067,0.5345405724337823,0.7700627940737809
claude-opus-4.6,c0233f,desktop,60.0,0.35821204776608817,0.5807489123941518,0.568665362087011
claude-opus-4.6,fdba74,desktop,20.0,0.01947158249411942,0.15085213183856253,6.94210690939553
claude-opus-4.6,fdba74,desktop,40.0,0.03797550021530091,0.25831979781699815,3.7208054972042186
claude-opus-4.6,fdba74,desktop,60.0,0.055403544944822775,0.29463251943035945,2.3778350850723933
claude-opus-4.6,36ca43,desktop,20.0,0.20964861828045298,0.2844557646742712,4.887667121109408
claude-opus-4.6,36ca43,desktop,40.0,0.26990803052459666,0.3645332256700875,2.1703196338029205
claude-opus-4.6,36ca43,desktop,60.0,0.3264772068313065,0.4080561913511107,1.3383983260241523
claude-opus-4.6,5eb5e5,desktop,20.0,0.5732172349007545,0.49862207920169777,1.5198500440403715
claude-opus-4.6,5eb5e5,desktop,40.0,0.7435359902642409,0.5828949322023215,0.586017600403233
claude-opus-4.6,5eb5e5,desktop,60.0,0.7559027009670879,0.5666272380039084,0.6001578621884682
claude-opus-4.6,ea4596,desktop,20.0,0.1846981737045582,0.3313178024844645,4.048645592036791
claude-opus-4.6,ea4596,desktop,40.0,0.26843243357181984,0.4458602843403787,1.7379748557820494
claude-opus-4.6,ea4596,desktop,60.0,0.3236180249065945,0.47737059014174676,1.146868169299123
claude-opus-4.6,d5f959,desktop,20.0,0.24712737420199787,0.34530449107142763,3.4831522713154266
claude-opus-4.6,d5f959,desktop,40.0,0.3049359286148013,0.4532582427146262,1.5031930711509518
claude-opus-4.6,d5f959,desktop,60.0,0.32495958401139324,0.4837741210059262,1.023229829756679
claude-opus-4.6,fa1827,desktop,20.0,0.37018213946531764,0.4091729112741814,3.121336867970723
claude-opus-4.6,fa1827,desktop,40.0,0.4176070174422109,0.5096937679765591,1.5587761772433115
claude-opus-4.6,fa1827,desktop,60.0,0.38418471860847975,0.523180236545899,1.1432717268125454
claude-opus-4.6,592b58,desktop,20.0,0.2750216985628205,0.3748691601289104,2.6853677303956616
claude-opus-4.6,592b58,desktop,40.0,0.42714144495974665,0.5082832229658244,0.9400943265404507
claude-opus-4.6,592b58,desktop,60.0,0.47069071052406136,0.5240490248386857,0.7474334975271371
claude-opus-4.6,1e27b2,desktop,20.0,0.236663732452646,0.3225292843760413,2.9313162862213358
claude-opus-4.6,1e27b2,desktop,40.0,0.3233620528486584,0.42287678799232736,1.2809781860123852
claude-opus-4.6,1e27b2,desktop,60.0,0.36235382629156015,0.4616577584101974,1.049256413641994
